Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used,	Num Nodes
100415,	3855,	710,	371,	780,	0,	5,	22,	
102423,	3656,	659,	420,	780,	0,	5,	22,	
104430,	3659,	661,	420,	780,	0,	5,	22,	
106437,	3656,	660,	420,	780,	0,	5,	22,	
108444,	3658,	660,	420,	780,	0,	5,	22,	
110451,	3658,	660,	420,	780,	0,	5,	22,	
112458,	3655,	660,	420,	780,	0,	5,	22,	
114465,	3659,	660,	420,	780,	0,	5,	22,	
116472,	3654,	659,	420,	780,	0,	5,	22,	
118478,	3659,	661,	420,	780,	0,	5,	22,	
120486,	3525,	634,	445,	780,	0,	7,	27,	
122493,	3060,	540,	540,	780,	0,	7,	27,	
124501,	3059,	540,	540,	779,	0,	7,	27,	
126508,	3057,	539,	540,	781,	0,	7,	27,	
128516,	3058,	541,	540,	779,	0,	7,	27,	
130522,	3058,	540,	540,	780,	0,	7,	27,	
132528,	3058,	540,	540,	781,	0,	7,	27,	
134534,	3058,	540,	540,	780,	0,	7,	27,	
136539,	3059,	540,	540,	779,	0,	7,	27,	
138545,	3060,	540,	540,	781,	0,	7,	27,	
140552,	3060,	540,	540,	780,	0,	7,	28,	
142560,	3057,	540,	540,	779,	0,	7,	28,	
144567,	3060,	539,	540,	781,	0,	7,	28,	
146573,	3060,	540,	540,	780,	0,	7,	28,	
148579,	3060,	540,	540,	780,	0,	7,	28,	
150587,	3059,	541,	539,	780,	0,	7,	28,	
152595,	3059,	539,	540,	780,	0,	7,	28,	
154602,	3060,	541,	540,	779,	0,	7,	28,	
156609,	3059,	540,	540,	781,	0,	7,	28,	
158615,	3058,	540,	540,	780,	0,	7,	28,	
160623,	2992,	523,	556,	780,	0,	8,	31,	
162630,	2816,	480,	600,	780,	0,	8,	31,	
164637,	2820,	479,	600,	780,	0,	8,	31,	
166644,	2819,	481,	600,	780,	0,	8,	31,	
168652,	2820,	480,	600,	780,	0,	8,	31,	
170659,	2819,	480,	600,	780,	0,	8,	31,	
172667,	2819,	479,	600,	780,	0,	8,	31,	
